fold,seed,teto,epoca,perda
1,2024,800,72,0.5291786593507624
1,2024,800,73,0.5258320491731849
1,2024,800,74,0.5269206819760928
1,2024,800,75,0.5251394113174076
1,2024,800,76,0.5266022362788911
1,2024,800,77,0.5284008655079335
1,2024,800,78,0.5267607366088148
1,2024,800,79,0.5252079187516056
1,2024,800,80,0.526213761286947
1,2024,800,81,0.5257052754192387
1,2024,800,82,0.5238143078685347
1,2024,800,83,0.5241258648801054
1,2024,800,84,0.5250080911992289
1,2024,800,85,0.523728221054574
1,2024,800,86,0.5241374106108004
1,2024,800,87,0.5247159734641853
1,2024,800,88,0.5238616496150011
1,2024,800,89,0.5234665157487077
1,2024,800,90,0.5234535881581798
1,2024,800,91,0.5238172816568744
1,2024,800,92,0.5258251730590825
1,2024,800,93,0.5229058848708917
1,2024,800,94,0.5221449929651837
1,2024,800,95,0.5233841666648653
1,2024,800,96,0.5221743669951422
1,2024,800,97,0.5238783608426328
1,2024,800,98,0.5222464919302096
1,2024,800,99,0.5232486533042566
1,2024,800,100,0.521609681561027
1,2024,800,101,0.52037955655131
1,2024,800,102,0.5215190929235365
1,2024,800,103,0.5212948109321625
1,2024,800,104,0.5212281850859668
1,2024,800,105,0.5223426781940939
1,2024,800,106,0.5196638256399176
1,2024,800,107,0.5210984799625635
1,2024,800,108,0.5208870887754068
1,2024,800,109,0.5202176707627942
1,2024,800,110,0.5195250697447056
1,2024,800,111,0.5196387349923428
1,2024,800,112,0.520095052129364
1,2024,800,113,0.5206392225750042
1,2024,800,114,0.5208315740145338
1,2024,800,115,0.5185660496239843
1,2024,800,116,0.518504541981002
1,2024,800,117,0.5197687625540965
1,2024,800,118,0.5197093668055885
1,2024,800,119,0.5187439231301675
1,2024,800,120,0.5183848955472056
1,2024,800,121,0.5184041030848761
1,2024,800,122,0.5206111198928981
1,2024,800,123,0.5188701902490639
1,2024,800,124,0.5186211756250189
1,2024,800,125,0.5192736706856481
1,2024,800,126,0.5184651818686193
1,2024,800,127,0.519713024233687
1,2024,800,128,0.5188607060840733
1,2024,800,129,0.5185741546347251
1,2024,800,130,0.5181348663849029
1,2024,800,131,0.5189941826042141
1,2024,800,132,0.5188111301363917
1,2024,800,133,0.5181608160746506
1,2024,800,134,0.5175412270144949
1,2024,800,135,0.5173871256941491
1,2024,800,136,0.5169720994241138
1,2024,800,137,0.5174137414220945
1,2024,800,138,0.5172344895158255
1,2024,800,139,0.5165720704441134
1,2024,800,140,0.5179965388776966
1,2024,800,141,0.5166280003086259
1,2024,800,142,0.5178129920965321
1,2024,800,143,0.5186569413923642
1,2024,800,144,0.5171021590640161
1,2024,800,145,0.5174528411405099
1,2024,800,146,0.5172752539681637
1,2024,800,147,0.5167382512817481
1,2024,800,148,0.516820600999028
1,2024,800,149,0.5155954697506927
1,2024,800,150,0.5147864539256348
1,2024,800,151,0.5179932891582869
1,2024,800,152,0.5177505349990568
1,2024,800,153,0.5176720445466102
1,2024,800,154,0.5150239815875907
1,2024,800,155,0.5169731889634313
1,2024,800,156,0.5161623440556771
1,2024,800,157,0.5176054369671038
1,2024,800,158,0.5147889002425983
1,2024,800,159,0.5156766398952484
1,2024,800,160,0.5139446238736394
1,2024,800,161,0.5172451329230363
1,2024,800,162,0.5170380397437113
1,2024,800,163,0.5155567574030792
1,2024,800,164,0.5179158427742397
1,2024,800,165,0.5145869478780383
1,2024,800,166,0.5151555015621279
1,2024,800,167,0.5150423807115172
1,2024,800,168,0.5155214972626931
1,2024,800,169,0.5139546368938778
1,2024,800,170,0.5142548216507749
1,2024,800,171,0.5162939867682508
2,42,100,1,0.6065164831061106
2,42,100,2,0.5749415224924406
2,42,100,3,0.566300634047995
2,42,100,4,0.5610672520172573
2,42,100,5,0.5570377212276021
2,42,100,6,0.5558652782481882
2,42,100,7,0.5530939376942279
2,42,100,8,0.5520269504556372
2,42,100,9,0.5511087867312043
2,42,100,10,0.5511307546109989
2,42,100,11,0.5488515792416796
2,42,100,12,0.5485751880911411
2,42,100,13,0.5474403312179814
2,42,100,14,0.545944541627881
2,42,100,15,0.5462404527757403
2,42,100,16,0.5460714541512562
2,42,100,17,0.5443710341881021
2,42,100,18,0.5442323055609114
2,42,100,19,0.5437476799262139
2,42,100,20,0.5441515309572265
2,42,100,21,0.5430529545090202
2,42,100,22,0.5424141065879232
2,42,100,23,0.5419933647257186
2,42,100,24,0.5427049029744578
2,42,100,25,0.5418979775422909
2,42,100,26,0.5416644200216232
2,42,100,27,0.5405657157380729
2,42,100,28,0.5420439333957258
2,42,100,29,0.5394139920808223
2,42,100,30,0.5415533288672635
2,42,100,31,0.5392028384557743
2,42,100,32,0.5396713843485821
2,42,100,33,0.5398451244397793
2,42,100,34,0.5376757212199259
2,42,100,35,0.5375647257866308
2,42,100,36,0.5384053027554905
2,42,100,37,0.5371967320619909
2,42,100,38,0.5386512259815199
2,42,100,39,0.5387166927389324
2,42,100,40,0.5379238870277899
2,42,100,41,0.5371754585530782
2,42,100,42,0.5362711585058023
2,42,100,43,0.5357003700205498
2,42,100,44,0.5361428206948624
2,42,100,45,0.5365523186018212
2,42,100,46,0.5360437390712276
2,42,100,47,0.5367852757273869
2,42,100,48,0.5350436238982528
2,42,100,49,0.5357225621684513
2,42,100,50,0.5349666992606309
2,42,100,51,0.5342357014178437
2,42,100,52,0.5342905623592287
2,42,100,53,0.5344409418514677
2,42,100,54,0.535125708643901
2,42,100,55,0.5331711630409269
2,42,100,56,0.5334416214895353
2,42,100,57,0.5341256414391249
2,42,100,58,0.5330228051984032
2,42,100,59,0.5329585567577145
2,42,100,60,0.5330856014054374
2,42,100,61,0.5327248113569558
2,42,100,62,0.533035094132882
2,42,100,63,0.5321648156397409
2,42,100,64,0.5318521445043206
2,42,100,65,0.5322427702034338
2,42,100,66,0.5330754298237592
2,42,100,67,0.5333136601201578
2,42,100,68,0.5323398115848635
2,42,100,69,0.5342219269819664
2,42,100,70,0.5321791605208587
2,42,100,71,0.5315519344227055
2,42,100,72,0.5320351898306006
2,42,100,73,0.5312940106741817
2,42,100,74,0.5321100416553959
2,42,100,75,0.5309599659988148
2,42,100,76,0.5315372876603834
2,42,100,77,0.5304136927109997
2,42,100,78,0.530883841851945
2,42,100,79,0.5315581225481375
2,42,100,80,0.5310294835386266
2,42,100,81,0.5315850207736778
2,42,100,82,0.5313724301299545
2,42,100,83,0.5305841404273925
2,42,100,84,0.5300708170177119
2,42,100,85,0.5319493764893283
2,42,100,86,0.5303106786819172
2,42,100,87,0.5315851499744654
2,42,100,88,0.5323891489935284
2,42,100,89,0.5306661080346383
2,42,100,90,0.530832428489042
2,42,100,91,0.5307275928817945
2,42,100,92,0.5296240592108354
2,42,100,93,0.5307575638421733
2,42,100,94,0.5308355617707265
2,42,100,95,0.5321053893725117
2,42,100,96,0.5288633681045537
2,42,100,97,0.5301515490352557
