modelo,seed,corte,grupo,n,positivos,mcc,f1,precision,recall,pr_auc,roc_auc,accuracy,tn,fp,fn,tp
LR,-1,faixa_rank,1-10,1420,301,-0.0364368443053039,0.04945054945054945,0.14285714285714285,0.029900332225913623,0.22090664453540979,0.5276275982055645,0.7563380281690141,1065,54,292,9
LR,-1,faixa_rank,11-40,4260,1341,0.07816462762032124,0.28773584905660377,0.39152759948652116,0.22744220730797912,0.36401260045960304,0.5753995716817406,0.6455399061032864,2445,474,1036,305
LR,-1,faixa_rank,41-100,8520,2927,0.14218359900774624,0.4515082711644502,0.42976227230626735,0.4755722582849334,0.4222634309312565,0.5879883592105437,0.6030516431924883,3746,1847,1535,1392
LR,-1,tempo_parada,1-4,4922,1261,0.2308000523811798,0.4552412645590682,0.3922018348623853,0.542426645519429,0.40196483279055517,0.6917634513088968,0.6674116212921577,2601,1060,577,684
LR,-1,tempo_parada,5-12,4072,1537,0.12933485460058325,0.47554598585050756,0.4509918319719953,0.5029277813923227,0.4502583178969828,0.5883710037356001,0.581286836935167,1594,941,764,773
LR,-1,tempo_parada,13+,5206,1771,0.046299674509864976,0.20802005012531327,0.3996789727126806,0.14059853190287974,0.3820237942796599,0.5475339798483903,0.6358048405685747,3061,374,1522,249
LR,-1,trimestre,2023Q4,200,77,0.21580989666029726,0.43548387096774194,0.574468085106383,0.35064935064935066,0.5205811060760781,0.6562137049941928,0.65,103,20,50,27
LR,-1,trimestre,2024Q1,1300,424,0.12427433942220689,0.4148319814600232,0.40774487471526194,0.4221698113207547,0.38945457499253755,0.5625161540449728,0.6115384615384616,616,260,245,179
LR,-1,trimestre,2024Q2,1300,382,0.1592051646456556,0.38764044943820225,0.41818181818181815,0.3612565445026178,0.41130372224236555,0.6052652590995677,0.6646153846153846,726,192,244,138
LR,-1,trimestre,2024Q3,1300,374,0.13742279950339767,0.3894736842105263,0.38341968911917096,0.39572192513368987,0.3824139644420419,0.6037583303496148,0.6430769230769231,688,238,226,148
LR,-1,trimestre,2024Q4,1300,404,0.06331984101444986,0.3023255813953488,0.36619718309859156,0.25742574257425743,0.3701423740462241,0.5867110148514851,0.6307692307692307,716,180,300,104
LR,-1,trimestre,2025Q1,1300,418,0.03160960148090483,0.32051282051282054,0.3453038674033149,0.29904306220095694,0.333261591931441,0.49568184530590553,0.5923076923076923,645,237,293,125
LR,-1,trimestre,2025Q2,1300,427,0.21131816437466036,0.4533001245330012,0.48404255319148937,0.4262295081967213,0.45327637698531825,0.6078128395180955,0.6623076923076923,679,194,245,182
LR,-1,trimestre,2025Q3,1300,428,0.15801924163162653,0.42246642246642246,0.4424552429667519,0.40420560747663553,0.4092414085709113,0.5857787447483496,0.6361538461538462,654,218,255,173
LR,-1,trimestre,2025Q4,1400,492,0.14836213213337862,0.4407484407484408,0.451063829787234,0.43089430894308944,0.4599215321094868,0.6381598975681386,0.6157142857142858,650,258,280,212
LR,-1,trimestre,2026Q1,1200,352,0.08492603317297971,0.35410764872521244,0.3531073446327684,0.35511363636363635,0.34801272889924323,0.5606473788593481,0.62,619,229,227,125
LR,-1,trimestre,2026Q2,1300,447,0.1320255022683242,0.39092055485498106,0.4479768786127168,0.34675615212527966,0.4066798877985618,0.5770054892457467,0.6284615384615385,662,191,292,155
LR,-1,trimestre,2026Q3,1000,344,0.16682349629801324,0.43125,0.46621621621621623,0.4011627906976744,0.4455360580500618,0.6199127906976744,0.636,498,158,206,138
LR,-1,estreia,0,12238,4192,0.11539879005367032,0.40625,0.4230371900826446,0.3907442748091603,0.4118102838743505,0.577086897049978,0.608759601242033,5812,2234,2554,1638
LR,-1,estreia,1,1962,377,0.1167417338749392,0.23208191126279865,0.3253588516746411,0.18037135278514588,0.3100978092977405,0.688626797981742,0.7706422018348624,1444,141,309,68
LR,-1,reentrada,0,13895,4455,0.13687816670047354,0.3956070192192909,0.42248852626211114,0.37194163860830526,0.40170444878575023,0.5892216539215127,0.6356243252968694,7175,2265,2798,1657
LR,-1,reentrada,1,305,114,-0.1414879876499453,0.358974358974359,0.3081761006289308,0.4298245614035088,0.36485708997946065,0.43767796454487,0.4262295081967213,81,110,65,49
LR,-1,radio_presente,0,8344,2449,0.1530778770853125,0.4052313883299799,0.3994446648155494,0.4111882400979992,0.38221605680949644,0.6065065763976988,0.6457334611697028,4381,1514,1442,1007
