atributo,inferior,superior,proporcao_referencia,proporcao_recente,referencia,recente
variacao_1s,2.0,4.0,0.09647237472257914,0.08085181274199225,D0,D2
variacao_1s,4.0,7.0,0.09450998715103376,0.07402323125659979,D0,D2
variacao_1s,7.0,15.0,0.11210139002452985,0.10851812741992256,D0,D2
variacao_1s,15.0,inf,0.10205583459876183,0.1537838789158747,D0,D2
peak_pos,-inf,3.0,0.09621539539773391,0.1311158042942626,D0,D2
peak_pos,3.0,7.0,0.08890316551804696,0.08859556494192186,D0,D2
peak_pos,7.0,14.0,0.10485924541525522,0.09957761351636747,D0,D2
peak_pos,14.0,24.0,0.10432192500876065,0.14744808166138684,D0,D2
peak_pos,24.0,36.0,0.10471907487443055,0.13611404435058078,D0,D2
peak_pos,36.0,46.0,0.09165985282093213,0.08662442801830342,D0,D2
peak_pos,46.0,56.0,0.10147179067865904,0.08380851812741992,D0,D2
peak_pos,56.0,68.0,0.10773274150216096,0.08240056318197818,D0,D2
peak_pos,68.0,81.0,0.09516411634154888,0.06979936642027455,D0,D2
peak_pos,81.0,inf,0.10495269244247167,0.0745160154875044,D0,D2
distancia_pico,-inf,0.0,1.1681151294271564e-05,3.52013517319065e-05,D0,D2
distancia_pico,0.0,1.0,0.3711218577703018,0.266579836665728,D0,D2
distancia_pico,1.0,4.0,0.10923044575273338,0.0812095184455083,D0,D2
distancia_pico,4.0,9.0,0.11577189047752547,0.1131019431146156,D0,D2
distancia_pico,9.0,15.0,0.09283010933557612,0.11450999718389186,D0,D2
distancia_pico,15.0,24.0,0.10516540510232689,0.12795691354548014,D0,D2
distancia_pico,24.0,37.0,0.1039272030651341,0.1233103351168685,D0,D2
distancia_pico,37.0,inf,0.10194140734510794,0.17329625457617573,D0,D2
semanas_na_parada,-inf,1.0,1.1680878402055835e-05,3.5198873636043646e-05,D0,D2
semanas_na_parada,1.0,3.0,0.16894054432893355,0.22326645547342486,D0,D2
semanas_na_parada,3.0,5.0,0.10899427636958299,0.12330165434706089,D0,D2
semanas_na_parada,5.0,7.0,0.09465015769185843,0.0916930658218937,D0,D2
semanas_na_parada,7.0,10.0,0.12651559397266673,0.10527983104540654,D0,D2
semanas_na_parada,10.0,12.0,0.07603083751898143,0.06128123900035199,D0,D2
semanas_na_parada,12.0,15.0,0.10287349608690574,0.08169658570925731,D0,D2
semanas_na_parada,15.0,19.0,0.11668029435813573,0.09288982752551918,D0,D2
semanas_na_parada,19.0,25.0,0.09574816026165167,0.08873636043646603,D0,D2
semanas_na_parada,25.0,inf,0.10955495853288168,0.13181978176698345,D0,D2
hiato_semanas,-inf,0.0,1.1681970047428799e-05,3.5208788113513136e-05,D0,D2
hiato_semanas,0.0,inf,0.9999883180299526,0.9999647912118865,D0,D2
radio_rank,-inf,11.0,0.09946732705651473,0.10001408153207068,D0,D2
radio_rank,11.0,21.0,0.09911688433053759,0.0980426670421742,D0,D2
radio_rank,21.0,31.0,0.09897670724014672,0.08769274097021756,D0,D2
radio_rank,31.0,41.0,0.09801883045580917,0.07030204886291629,D0,D2
radio_rank,41.0,51.0,0.09180431278181436,0.05643173977328733,D0,D2
radio_rank,51.0,inf,0.5126159381351775,0.5875167218193339,D0,D2
streaming_rank,-inf,11.0,0.09752821063944116,0.09987326621136379,D0,D2
streaming_rank,11.0,21.0,0.09628997967432189,0.0938182074209674,D0,D2
streaming_rank,21.0,32.0,0.09801883045580917,0.09135393930859678,D0,D2
streaming_rank,32.0,46.0,0.10797140387356026,0.10261916496514821,D0,D2
