familia,config,seed,fold,inicio_validacao,fim_treino,n_treino,n_validacao,iteracoes,tempo_treino_s,tempo_inferencia_s,mcc_treino,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
Gradient Boosting,GB06,42,1,2014-08-27,2014-08-13,8500,8600,200,0.8047300000034738,0.13553410000167787,0.6139384177054069,0.4136825798174366,0.6371250190345668,0.6549780839073263,0.6202193892677142,0.722906976744186,0.7820999268831005,0.6579679534205289
Gradient Boosting,GB06,42,2,2016-04-20,2016-04-06,17100,8600,200,1.1105435999925248,0.11099290000856854,0.543383589438678,0.35323116644847596,0.5814948962792229,0.5912286575159023,0.5720764496274701,0.7044186046511628,0.7441814796971625,0.586216891264697
Gradient Boosting,GB06,42,3,2017-12-13,2017-11-29,25700,8500,200,2.033962799992878,0.11590550001710653,0.4928363738156582,0.29434295901832,0.5051486302700602,0.5501481168006771,0.46695402298850575,0.7003529411764706,0.7149091353772029,0.5182859548947019
Gradient Boosting,GB06,42,4,2019-07-31,2019-07-17,34200,8500,200,1.7599047000112478,0.1084275999746751,0.4528654159665686,0.27820389555778435,0.482414068745004,0.5621797857475547,0.42247112355617783,0.6952941176470588,0.7165605976559682,0.539355789005228
Gradient Boosting,GB07,42,1,2014-08-27,2014-08-13,8500,8600,200,0.8214067000080831,0.13273049998679198,0.6166847239609302,0.43300357116665106,0.6704032809295967,0.6220192795535261,0.7269493032908391,0.7196511627906976,0.7835535300953662,0.665015228097668
Gradient Boosting,GB07,42,2,2016-04-20,2016-04-06,17100,8600,200,1.1206946000165772,0.11081100002047606,0.5515082039121574,0.35193701841362474,0.60418802167228,0.551309460181721,0.6682863621639132,0.6856976744186046,0.7448393469486471,0.5864940830971807
Gradient Boosting,GB07,42,3,2017-12-13,2017-11-29,25700,8500,200,1.4238724999886472,0.10512399999424815,0.5007425183521448,0.31679114028635036,0.5577112791844788,0.5142510612492419,0.6091954022988506,0.6835294117647058,0.7134402737727532,0.5161126261624475
Gradient Boosting,GB07,42,4,2019-07-31,2019-07-17,34200,8500,200,1.7522203999978956,0.1128459999745246,0.4646497919798664,0.3069932014561774,0.554138043833824,0.5201105311636476,0.5929296464823242,0.6792941176470588,0.7161919410873964,0.5395003298092929
Gradient Boosting,GB08,42,1,2014-08-27,2014-08-13,8500,8600,100,0.28884279998601414,0.05064090000814758,0.5263147547819818,0.41733328499566613,0.6407149348682217,0.6550015484670176,0.6270382448858582,0.7241860465116279,0.7847522649591726,0.6596203996706927
Gradient Boosting,GB08,42,2,2016-04-20,2016-04-06,17100,8600,100,0.44366839999565855,0.04648560000350699,0.4913844190037166,0.34841385802853875,0.576731852833941,0.5904309467254836,0.5636540330417882,0.7030232558139535,0.7433543273839124,0.5837567693486867
Gradient Boosting,GB08,42,3,2017-12-13,2017-11-29,25700,8500,100,0.725308799999766,0.054055699991295114,0.44741798948641776,0.297423800755153,0.5050900548159749,0.5550774526678142,0.46336206896551724,0.7025882352941176,0.7135355711533666,0.5182921565001342
