date,mean,size,conjunto
2017-03-01,0.21,100,D0
2017-03-08,0.34,100,D0
2017-03-15,0.31,100,D0
2017-03-22,0.44,100,D0
2017-03-29,0.11,100,D0
2017-04-05,0.56,100,D0
2017-04-12,0.32,100,D0
2017-04-19,0.45,100,D0
2017-04-26,0.1,100,D0
2017-05-03,0.55,100,D0
2017-05-10,0.33,100,D0
2017-05-17,0.41,100,D0
2017-05-24,0.28,100,D0
2017-05-31,0.42,100,D0
2017-06-07,0.38,100,D0
2017-06-14,0.36,100,D0
2017-06-21,0.37,100,D0
2017-06-28,0.29,100,D0
2017-07-05,0.38,100,D0
2017-07-12,0.37,100,D0
2017-07-19,0.21,100,D0
2017-07-26,0.49,100,D0
2017-08-02,0.26,100,D0
2017-08-09,0.45,100,D0
2017-08-16,0.47,100,D0
2017-08-23,0.36,100,D0
2017-08-30,0.34,100,D0
2017-09-06,0.21,100,D0
2017-09-13,0.33,100,D0
2017-09-20,0.27,100,D0
2017-09-27,0.34,100,D0
2017-10-04,0.42,100,D0
2017-10-11,0.41,100,D0
2017-10-18,0.38,100,D0
2017-10-25,0.47,100,D0
2017-11-01,0.29,100,D0
2017-11-08,0.35,100,D0
2017-11-15,0.28,100,D0
2017-11-22,0.35,100,D0
2017-11-29,0.54,100,D0
2017-12-06,0.35,100,D0
2017-12-13,0.3,100,D0
2017-12-20,0.33,100,D0
2017-12-27,0.25,100,D0
2018-01-03,0.54,100,D0
2018-01-10,0.37,100,D0
2018-01-17,0.42,100,D0
2018-01-24,0.22,100,D0
2018-01-31,0.23,100,D0
2018-02-07,0.49,100,D0
2018-02-14,0.25,100,D0
2018-02-21,0.43,100,D0
2018-02-28,0.35,100,D0
2018-03-07,0.27,100,D0
2018-03-14,0.34,100,D0
2018-03-21,0.32,100,D0
2018-03-28,0.48,100,D0
2018-04-04,0.25,100,D0
2018-04-11,0.07,100,D0
2018-04-18,0.32,100,D0
2018-04-25,0.06,100,D0
2018-05-02,0.17,100,D0
2018-05-09,0.54,100,D0
2018-05-16,0.43,100,D0
2018-05-23,0.3,100,D0
2018-05-30,0.24,100,D0
2018-06-06,0.14,100,D0
2018-06-13,0.5,100,D0
2018-06-20,0.13,100,D0
2018-06-27,0.41,100,D0
2018-07-04,0.09,100,D0
2018-07-11,0.54,100,D0
2018-07-18,0.39,100,D0
2018-07-25,0.36,100,D0
2018-08-01,0.42,100,D0
2018-08-08,0.06,100,D0
2018-08-15,0.56,100,D0
2018-08-22,0.37,100,D0
2018-08-29,0.34,100,D0
2018-09-05,0.12,100,D0
2018-09-12,0.61,100,D0
2018-09-19,0.34,100,D0
2018-09-26,0.39,100,D0
2018-10-03,0.02,100,D0
2018-10-10,0.55,100,D0
2018-10-17,0.36,100,D0
2018-10-24,0.35,100,D0
2018-10-31,0.32,100,D0
2018-11-07,0.24,100,D0
2018-11-14,0.35,100,D0
2018-11-21,0.48,100,D0
2018-11-28,0.18,100,D0
2018-12-05,0.16,100,D0
2018-12-12,0.43,100,D0
2018-12-19,0.34,100,D0
2018-12-26,0.23,100,D0
2019-01-02,0.66,100,D0
2019-01-09,0.39,100,D0
2019-01-16,0.25,100,D0
2019-01-23,0.17,100,D0
2019-01-30,0.36,100,D0
2019-02-06,0.35,100,D0
2019-02-13,0.13,100,D0
2019-02-20,0.4,100,D0
2019-02-27,0.29,100,D0
2019-03-06,0.31,100,D0
2019-03-13,0.34,100,D0
2019-03-20,0.48,100,D0
2019-03-27,0.5,100,D0
2019-04-03,0.12,100,D0
2019-04-10,0.4,100,D0
2019-04-17,0.36,100,D0
2019-04-24,0.44,100,D0
2019-05-01,0.31,100,D0
2019-05-08,0.26,100,D0
2019-05-15,0.4,100,D0
2019-05-22,0.13,100,D0
2019-05-29,0.46,100,D0
2019-06-05,0.29,100,D0
2019-06-12,0.37,100,D0
2019-06-19,0.28,100,D0
2019-06-26,0.21,100,D0
2019-07-03,0.31,100,D0
2019-07-10,0.28,100,D0
2019-07-17,0.43,100,D0
2019-07-24,0.41,100,D0
2019-07-31,0.41,100,D0
2019-08-07,0.34,100,D0
2019-08-14,0.38,100,D0
2019-08-21,0.25,100,D0
2019-08-28,0.11,100,D0
2019-09-04,0.58,100,D0
2019-09-11,0.12,100,D0
2019-09-18,0.52,100,D0
2019-09-25,0.45,100,D0
2019-10-02,0.18,100,D0
2019-10-09,0.27,100,D0
2019-10-16,0.33,100,D0
2019-10-23,0.38,100,D0
2019-10-30,0.13,100,D0
2019-11-06,0.64,100,D0
2019-11-13,0.27,100,D0
2019-11-20,0.29,100,D0
2019-11-27,0.18,100,D0
2019-12-04,0.21,100,D0
2019-12-11,0.33,100,D0
2019-12-18,0.27,100,D0
2019-12-25,0.24,100,D0
2020-01-01,0.7,100,D0
2020-01-08,0.44,100,D0
2020-01-15,0.29,100,D0
2020-01-22,0.13,100,D0
2020-01-29,0.5,100,D0
2020-02-05,0.42,100,D0
2020-02-12,0.28,100,D0
2020-02-19,0.25,100,D0
2020-02-26,0.29,100,D0
2020-03-04,0.13,100,D0
2020-03-11,0.11,100,D0
2020-03-18,0.51,100,D0
2020-03-25,0.24,100,D0
2020-04-01,0.54,100,D0
2020-04-08,0.27,100,D0
2020-04-15,0.35,100,D0
2020-04-22,0.13,100,D0
2020-04-29,0.42,100,D0
2020-05-06,0.09,100,D0
2020-05-13,0.51,100,D0
2020-05-20,0.24,100,D0
2020-05-27,0.46,100,D0
2020-06-03,0.49,100,D0
2020-06-10,0.51,100,D0
2020-06-17,0.22,100,D0
2020-06-24,0.46,100,D0
2020-07-01,0.37,100,D0
2020-07-08,0.11,100,D0
2020-07-15,0.13,100,D0
2020-07-22,0.63,100,D0
2020-07-29,0.06,100,D0
2020-08-05,0.62,100,D0
2020-08-12,0.39,100,D0
2020-08-19,0.23,100,D0
2020-08-26,0.32,100,D0
2020-09-02,0.3,100,D0
2020-09-09,0.38,100,D0
2020-09-16,0.31,100,D0
2020-09-23,0.42,100,D0
2020-09-30,0.32,100,D0
2020-10-07,0.06,100,D0
2020-10-14,0.63,100,D0
2020-10-21,0.33,100,D0
2020-10-28,0.23,100,D0
2020-11-04,0.18,100,D0
2020-11-11,0.51,100,D0
2020-11-18,0.23,100,D0
2020-11-25,0.07,100,D0
2020-12-02,0.18,100,D0
2020-12-09,0.53,100,D0
2020-12-16,0.14,100,D0
2020-12-23,0.44,100,D0
2020-12-30,0.54,100,D0
2021-01-06,0.66,100,D0
2021-01-13,0.17,100,D0
2021-01-20,0.41,100,D0
2021-01-27,0.48,100,D0
2021-02-03,0.4,100,D0
2021-02-10,0.42,100,D0
2021-02-17,0.37,100,D0
2021-02-24,0.46,100,D0
2021-03-03,0.4,100,D0
2021-03-10,0.28,100,D0
2021-03-24,0.16,100,D1
2021-03-31,0.24,100,D1
2021-04-07,0.45,100,D1
2021-04-14,0.16,100,D1
2021-04-21,0.4,100,D1
2021-04-28,0.31,100,D1
2021-05-05,0.31,100,D1
2021-05-12,0.37,100,D1
2021-05-19,0.07,100,D1
2021-05-26,0.3,100,D1
2021-06-02,0.57,100,D1
2021-06-09,0.14,100,D1
2021-06-16,0.36,100,D1
2021-06-23,0.49,100,D1
2021-06-30,0.11,100,D1
2021-07-07,0.5,100,D1
2021-07-14,0.15,100,D1
2021-07-21,0.3,100,D1
2021-07-28,0.3,100,D1
2021-08-04,0.35,100,D1
2021-08-11,0.4,100,D1
2021-08-18,0.36,100,D1
2021-08-25,0.29,100,D1
2021-09-01,0.05,100,D1
